ID,Start time,Completion time,Email,Name,"Slope estimate for scatter plot x-axis third exam score, y-axis final exam score","Slope estimate for scatter plot y-axis third exam score, x-axis final exam score",semester
16,4/26/22 14:22:14,4/26/22 14:29:11,anonymous,,2.000,0.500,2022
17,4/26/22 14:24:37,4/26/22 14:29:59,anonymous,,1.750,0.400,2022
18,4/26/22 14:29:35,4/26/22 14:30:08,anonymous,,7.500,0.750,2022
19,4/26/22 14:29:54,4/26/22 14:30:18,anonymous,,2.500,0.400,2022
20,4/26/22 14:31:03,4/26/22 14:32:56,anonymous,,2.500,0.400,2022
21,4/26/22 14:31:32,4/26/22 14:33:01,anonymous,,2.000,0.500,2022
22,4/26/22 14:33:37,4/26/22 14:34:31,anonymous,,2.000,0.300,2022
23,4/26/22 14:33:50,4/26/22 14:34:36,anonymous,,NA,NA,2022
24,4/26/22 14:34:26,4/26/22 14:34:53,anonymous,,3.000,0.333,2022
25,4/26/22 14:34:40,4/26/22 14:35:32,anonymous,,2.273,2.500,2022
26,4/26/22 14:34:25,4/26/22 14:36:31,anonymous,,1.850,0.300,2022
27,4/26/22 14:36:29,4/26/22 14:36:45,anonymous,,2.810,0.420,2022
28,4/26/22 14:33:25,4/26/22 14:37:07,anonymous,,1.900,0.300,2022
29,4/26/22 14:35:53,4/26/22 14:37:07,anonymous,,2.857,0.356,2022
30,4/26/22 14:36:49,4/26/22 14:38:17,anonymous,,2.000,0.475,2022
31,4/26/22 13:33:40,4/26/22 14:47:20,anonymous,,2.174,0.333,2022
32,4/26/22 14:34:43,4/26/22 14:48:22,anonymous,,2.500,2.600,2022
33,4/26/22 14:34:48,4/26/22 14:54:36,anonymous,,1.400,2.000,2022
34,4/24/23 14:07:32,4/24/23 14:07:48,anonymous,,3.330,0.460,2023
35,4/24/23 14:04:39,4/24/23 14:08:43,anonymous,,1.875,0.533,2023
36,4/24/23 14:04:16,4/24/23 14:09:18,anonymous,,2.250,0.600,2023
37,4/24/23 14:05:15,4/24/23 14:09:41,anonymous,,4.500,0.300,2023
38,4/24/23 14:12:44,4/24/23 14:13:07,anonymous,,2.500,0.400,2023
39,4/24/23 14:11:01,4/24/23 14:14:33,anonymous,,2.300,1.000,2023
40,4/24/23 14:14:05,4/24/23 14:14:54,anonymous,,1.667,0.460,2023
41,4/24/23 14:04:36,4/24/23 14:15:35,anonymous,,1.750,0.475,2023
42,4/24/23 14:19:29,4/24/23 14:19:57,anonymous,,2.125,0.571,2023
43,4/24/23 14:21:18,4/24/23 14:21:59,anonymous,,2.600,0.430,2023
44,4/24/23 14:04:42,4/24/23 14:22:22,anonymous,,2.500,0.400,2023
45,4/24/23 14:20:36,4/24/23 14:22:38,anonymous,,3.333,0.400,2023
46,4/24/23 14:22:21,4/24/23 14:22:42,anonymous,,2.000,0.480,2023
47,4/24/23 14:22:18,4/24/23 14:22:42,anonymous,,2.000,0.480,2023
48,4/24/23 14:23:02,4/24/23 14:23:12,anonymous,,2.000,0.480,2023
49,4/24/23 14:23:49,4/24/23 14:23:58,anonymous,,1.875,0.333,2023
50,4/24/23 14:23:59,4/24/23 14:24:13,anonymous,,1.667,0.400,2023
51,4/24/23 14:23:01,4/24/23 14:24:47,anonymous,,2.500,0.800,2023
52,4/24/23 14:04:53,4/24/23 14:28:30,anonymous,,2.260,0.430,2023
53,4/24/23 14:28:15,4/24/23 14:29:23,anonymous,,2.700,0.370,2023
54,4/24/23 14:04:37,4/24/23 14:34:05,anonymous,,2.500,0.260,2023
55,4/24/23 14:04:38,4/24/23 14:35:23,anonymous,,2.500,0.260,2023
56,4/24/23 14:35:38,4/24/23 14:36:47,anonymous,,2.630,0.670,2023
